Complexity,Loss,Equation
1,780.955,"-23.530516"
4,777.00806,"sin(x1) + -23.56846"
5,8.701544,"(x5 * -1.0570904) * x5"
7,2.380635,"((x5 * -1.00369) * x5) + -3.1152558"
9,2.3797686,"((x5 * (x5 + -0.006527585)) * -1.0037518) + -3.112311"
11,2.3772929,"(x4 * 0.01163108) + (((x5 * x5) + 3.104117) * -1.0037658)"
12,2.316156,"cos(x5 * -0.2944103) + ((x5 * (x5 * -0.98346967)) + -3.9340086)"
13,2.3085675,"((x5 * x5) * (((x5 * x5) * 0.00018546083) + -1.0229982)) + -2.9425719"
14,2.278128,"(exp(cos(cos(x4 + -0.8086741))) + ((x5 * x5) + 0.93843055)) * -1.0039119"
15,1.4664515,"(((x5 * -1.0039963) * x5) + (cos(x1 + x1) * sin(x0))) + -3.0433316"
17,1.0506907,"((x5 * (x5 * -1.0035411)) + -3.020613) + ((cos(x1 + x1) * sin(x0)) * 2.266046)"
28,1.0439506,"((x5 * (x5 * -2.0047026)) + (x5 * x5)) + ((sin(x0 + 0.21445173) * (cos(x1 + x1) + cos(x1 + (x1 + -0.3551151)))) + -3.011714)"
30,1.0379926,"((x5 * (x5 + 0.017040601)) + (sin(x0 + 0.21547025) * (cos(x1 + x1) + cos((x1 + -0.3625034) + x1)))) + (((x5 * -2.0046792) * x5) + -3.013188)"
