Complexity,Loss,Equation
1,780.955,"-23.530516"
4,776.61487,"-23.543373 - sin(x4)"
5,2.3911588,"-3.1902225 - (x5 * x5)"
7,2.380635,"((x5 * -1.0036889) * x5) + -3.1152709"
9,2.346482,"(cos(cos(x1)) - (x5 * x5)) + -3.970089"
10,2.1369784,"(sin(0.22395399 ^ x5) - (x5 * x5)) - 3.3443897"
11,2.1321914,"(sin(sin(0.22395399 ^ x5)) - (x5 * x5)) - 3.3337872"
13,2.130871,"(sin(sin(-0.018464703 + (0.22395399 ^ x5))) - (x5 * x5)) - 3.3337872"
14,2.1210775,"(sin(0.22395399 ^ x5) - (x5 * x5)) - (3.3337872 + (x3 * -0.018464703))"
15,1.7438569,"(((x5 * -1.0035725) * x5) + -3.0725465) - cos(x0 + cos(x1 + x1))"
